고객ID ,데이터셋 구분,보험사기자여부,성별,연령,주택가격,거주TYPE,FP경력,고객등록년월,시도구분,직업그룹코드1,직업그룹코드2,추정가구소득1,추정가구소득2,,,,
73,2,,2,49,6250,30,N,200207,인천,서비스,3차산업 종사자,4921,8695,,,,
74,1,N,2,45,9305,20,N,200208,경기,주부,주부,3962,4211,,,,
75,1,N,2,51,7092,12,N,200208,부산,자영업,자영업,5472,8065,,,,
76,1,N,1,53,9861,30,N,200208,인천,서비스,3차산업 종사자,5969,4096,,,,
77,1,N,2,58,2704,13,N,200208,부산,서비스,3차산업 종사자,4731,3458,,,,
78,1,N,2,52,8611,20,N,200209,충북,전문직,사무직,5867,10022,,,,
79,1,Y,2,59,11409,99,N,200209,인천,주부,주부,0,5079,,,,
80,1,N,2,66,4722,30,N,200210,강원,기타,기타,2666,2657,,,,
81,1,N,2,53,10277,20,N,200210,서울,주부,주부,4700,4895,,,,
82,1,N,2,51,2196,13,Y,200210,경남,주부,주부,4694,4694,,,,
83,1,N,2,63,0,11,N,200210,전남,기타,단순 노무직,0,3545,,,,
84,1,N,2,67,5689,99,Y,200210,광주,주부,주부,0,0,,,,
85,1,N,2,57,28888,20,Y,200211,서울,주부,주부,7466,7328,,,,
86,1,Y,2,45,14456,99,N,,,,,0,,,,,
87,1,N,2,56,8601,11,N,200211,제주,서비스,3차산업 종사자,5340,7271,,,,
88,1,N,2,73,5281,11,Y,198110,경북,기타,기타,2866,2842,,,,
89,1,N,2,69,7338,12,Y,199703,경기,사무직,사무직,1908,2463,,,,
90,1,N,2,69,2167,12,Y,200111,광주,자영업,3차산업 종사자,2740,2723,,,,
91,1,N,2,69,21250,30,Y,199205,서울,주부,주부,2572,3186,,,,
92,1,Y,2,68,2842,12,Y,199903,충북,주부,주부,2714,2705,,,,
93,1,N,2,68,7777,20,Y,199909,전북,서비스,3차산업 종사자,2583,2583,,,,
94,1,N,2,68,3949,12,Y,199904,서울,주부,주부,3527,3501,,,,
95,1,N,2,66,6666,20,Y,198304,경북,기타,기타,3567,3771,,,,
96,1,N,2,65,8611,20,Y,199809,경기,자영업,3차산업 종사자,3323,,,,,
98,1,N,2,64,0,,Y,199206,인천,주부,주부,0,8684,,,,
99,1,N,2,63,1589,11,Y,198208,전남,주부,주부,3247,3226,,,,
100,1,N,2,62,4081,13,N,200209,경기,자영업,자영업,3354,4689,,,,
101,2,,2,62,16944,20,Y,198707,울산,주부,주부,8165,7905,,,,
102,1,N,2,62,8750,20,Y,199604,서울,기타,기타,3067,2941,,,,
103,1,N,2,62,32222,20,Y,198406,경북,서비스,2차산업 종사자,10768,10542,,,,
104,1,N,2,62,7778,12,Y,198904,인천,제조업,2차산업 종사자,0,0,,,,
105,1,N,2,61,17222,20,Y,199306,인천,주부,주부,6420,6420,,,,
106,2,,2,61,9305,30,Y,200202,경기,서비스,3차산업 종사자,4532,6662,,,,
107,1,Y,2,61,23617,11,Y,198410,경기,주부,주부,6352,5904,,,,
108,1,N,2,60,0,,N,199910,충남,전문직,교사,0,5660,,,,
109,1,N,2,60,88333,20,Y,198906,인천,주부,주부,12904,12949,,,,
110,1,N,2,60,7683,11,Y,198606,경북,주부,주부,4950,4857,,,,
111,1,N,2,59,6441,40,Y,199107,경북,자영업,자영업,4849,5177,,,,
112,1,N,2,59,11944,30,N,200202,경기,주부,주부,4750,4750,,,,
113,1,N,2,59,2263,99,Y,200202,전남,주부,주부,0,0,,,,
114,1,N,2,58,10177,11,Y,198911,광주,전문직,3차산업 종사자,5676,5738,,,,
115,1,N,2,58,4816,12,Y,198302,제주,주부,주부,4532,4073,,,,
116,2,,2,58,10710,11,Y,198502,대구,서비스,3차산업 종사자,5790,5786,,,,
117,1,N,2,57,16111,20,Y,199409,경기,전문직,사무직,6341,6400,,,,
118,1,N,2,57,8832,12,Y,200007,경기,서비스,3차산업 종사자,5402,3382,,,,
119,1,N,2,57,6944,30,Y,200010,경기,전문직,전문직,4831,3598,,,,
120,1,N,2,57,6805,20,Y,199108,전남,주부,주부,4880,4069,,,,
121,1,N,2,56,10277,30,Y,199011,서울,자영업,자영업,5391,5565,,,,
122,1,N,2,56,8968,40,Y,199602,경기,서비스,3차산업 종사자,5154,7814,,,,
123,2,,2,56,9722,20,Y,198808,경남,주부,주부,6672,4384,,,,
124,1,N,2,56,23888,20,Y,200007,부산,주부,주부,9147,5252,,,,
125,2,,2,56,2029,13,Y,200102,강원,주부,주부,4427,4089,,,,
126,1,Y,2,55,15416,20,Y,199106,경남,서비스,3차산업 종사자,7882,3487,,,,
127,1,N,2,55,4544,13,Y,198708,대구,주부,주부,5066,4212,,,,
128,1,N,2,55,4027,30,Y,200206,경기,자영업,자영업,5063,5924,,,,
129,1,N,2,55,28586,12,Y,200204,경기,기타,3차산업 종사자,0,9989,,,,
130,1,N,2,54,0,,Y,,,,,0,,,,,
131,1,N,2,54,5972,30,Y,199306,제주,1차산업,1차산업 종사자,5895,9967,,,,
132,1,N,2,54,28888,20,Y,199202,경기,서비스,3차산업 종사자,10341,10368,,,,
133,1,N,2,53,7500,30,Y,200005,경기,주부,주부,5254,4741,,,,
134,1,N,2,51,11615,40,Y,199205,대구,서비스,2차산업 종사자,6580,6819,,,,
135,1,N,2,51,8874,12,Y,199610,경기,전문직,의료직 종사자,5553,7985,,,,
136,1,N,2,51,11527,20,Y,199606,강원,전문직,의료직 종사자,0,8427,,,,
137,2,,1,51,14305,20,N,200203,경기,서비스,2차산업 종사자,4542,8654,,,,
138,1,N,2,50,28055,20,Y,200202,서울,자영업,3차산업 종사자,8400,10952,,,,
139,2,,1,50,17222,30,N,199912,서울,서비스,2차산업 종사자,6646,5047,,,,
140,1,N,2,48,11111,30,Y,199207,경기,자영업,자영업,6436,8283,,,,
141,1,N,2,48,6527,30,Y,199608,부산,서비스,3차산업 종사자,3300,9845,,,,
142,1,Y,2,48,13333,20,Y,199411,경기,주부,주부,6324,4350,,,,
143,1,N,2,48,10833,30,Y,199504,서울,자영업,3차산업 종사자,5588,8924,,,,
144,1,N,2,48,29305,20,Y,199902,경기,사무직,사무직,6610,10217,,,,
145,1,Y,2,48,16856,40,Y,199509,서울,자영업,자영업,6850,10550,,,,
146,1,N,2,46,11111,20,Y,200202,전북,주부,주부,4572,4690,,,,
147,1,N,2,46,10920,99,Y,200012,경기,자영업,3차산업 종사자,0,3713,,,,
148,1,N,2,45,2880,13,Y,199505,경기,서비스,3차산업 종사자,2993,6997,,,,
149,1,N,2,43,13141,20,Y,199603,울산,주부,주부,4111,0,,,,
151,1,N,2,43,14305,30,Y,199909,서울,주부,주부,6476,4621,,,,
152,1,N,2,41,53888,20,N,200003,경기,사무직,사무직,10995,5006,,,,
153,1,N,2,40,0,,Y,199612,전남,주부,주부,0,4269,,,,
154,1,N,2,40,14027,20,Y,199810,강원,주부,주부,0,3219,,,,
155,1,N,2,43,14166,30,Y,200211,경기,자영업,3차산업 종사자,4918,8500,,,,
156,1,N,1,46,7638,20,N,200212,전북,서비스,2차산업 종사자,4018,4836,,,,
157,1,N,1,54,8208,99,N,200212,대구,전문직,공무원,0,7902,,,,
158,1,N,2,47,15277,20,N,200212,대구,자영업,자영업,4163,9509,,,,
159,1,N,2,52,7603,11,N,200301,경기,서비스,3차산업 종사자,5423,9161,,,,
160,1,N,2,46,4027,30,N,200302,부산,주부,주부,0,0,,,,
161,2,,1,51,2638,20,N,200302,전남,제조업,운전직,4568,4992,,,,
162,1,Y,2,62,7623,12,N,200302,서울,주부,주부,4597,4549,,,,
163,1,N,1,48,12916,20,N,200303,부산,제조업,운전직,4843,4812,,,,
164,1,N,2,47,2476,11,N,200304,경남,주부,주부,4946,3476,,,,
165,1,N,2,66,6666,30,N,200304,부산,서비스,의료직 종사자,2849,3010,,,,
166,1,N,2,54,19861,20,N,200305,충북,전문직,교사,10074,10378,,,,
167,1,N,1,66,18308,40,N,200305,서울,자영업,자영업,3363,,,,,
168,1,N,2,52,4609,12,N,200305,충북,주부,주부,4959,4971,,,,
169,1,N,1,69,19444,20,N,200305,광주,1차산업,1차산업 종사자,5107,7163,,,,
205,1,N,2,85,55555,20,N,,,,,7127,,,,,
206,1,N,1,85,11818,40,N,200306,전북,자영업,자영업,1516,1545,,,,
207,1,N,2,83,9055,99,N,200306,경북,자영업,자영업,0,0,,,,
208,1,N,2,82,1966,13,N,200306,전북,주부,주부,1279,1268,,,,
210,1,N,2,81,18098,11,N,200303,경북,기타,기타,0,0,,,,
211,1,N,1,80,3946,40,N,,,,,1402,,,,,
212,1,N,2,80,9444,30,N,,,,,1365,,,,,
213,1,N,2,79,15000,30,N,200306,경기,기타,기타,1630,1666,,,,
214,1,N,2,79,0,,N,,,,,0,,,,,
216,1,N,2,77,11776,99,N,200306,부산,주부,주부,0,0,,,,
217,1,N,2,77,3360,30,N,,,,,1253,,,,,
218,1,N,2,77,3711,12,N,200306,인천,기타,기타,1497,1488,,,,
219,1,N,1,76,4077,40,N,200306,충북,기타,기타,1514,1625,,,,
220,1,N,2,76,2451,13,N,200306,경남,기타,기타,1478,1477,,,,
221,1,N,2,76,10833,20,N,200306,경남,주부,주부,1744,1744,,,,
222,1,N,2,76,31666,20,N,200306,경기,주부,주부,3468,3468,,,,
224,1,N,2,76,19777,11,N,200306,경기,1차산업,1차산업 종사자,1970,0,,,,
227,1,N,1,75,22777,20,N,200306,인천,기타,기타,3393,3572,,,,
228,1,N,2,75,12083,20,N,200306,경기,기타,기타,1781,1858,,,,
229,1,N,1,75,0,,N,200306,서울,제조업,운전직,0,0,,,,
231,1,N,1,75,17777,20,N,200306,경기,서비스,2차산업 종사자,1985,2036,,,,
234,1,N,1,75,5237,11,N,200306,전북,1차산업,1차산업 종사자,1705,2260,,,,
235,1,N,2,75,19958,30,N,200306,서울,자영업,자영업,2372,6145,,,,
236,1,N,1,75,9027,30,N,200306,경기,자영업,자영업,1647,1634,,,,
237,1,N,2,75,4225,13,N,200306,서울,기타,기타,1375,1558,,,,
238,1,N,2,74,8634,12,N,,,,,1520,,,,,
239,2,,2,74,9444,20,N,200306,광주,주부,주부,1854,1818,,,,
241,2,,2,74,1935,12,N,200306,부산,주부,주부,1428,1422,,,,
242,1,N,2,74,4179,13,N,200306,경기,기타,기타,1588,1571,,,,
244,1,N,2,74,29027,20,N,200306,경기,주부,주부,3255,3255,,,,
245,1,N,2,74,9041,11,N,200306,전북,주부,주부,1937,1973,,,,
246,1,N,2,74,3775,99,N,200306,강원,주부,주부,0,0,,,,
247,1,N,2,73,1884,11,N,200306,경북,기타,1차산업 종사자,1585,1626,,,,
248,1,N,2,73,801,11,N,200306,전남,기타,기타,1580,1573,,,,
249,1,N,2,73,8407,11,N,200306,부산,주부,주부,1823,1817,,,,
250,1,N,2,73,46685,20,N,200306,서울,기타,기타,0,1546,,,,
251,1,N,1,72,13611,20,N,200306,경북,제조업,운전직,2465,3708,,,,
252,2,,2,72,26189,11,N,200306,인천,주부,주부,2267,2245,,,,
253,1,N,1,72,6944,20,N,200306,전남,1차산업,1차산업 종사자,1759,1918,,,,
254,1,N,2,72,8264,11,N,200306,전북,주부,주부,1997,1984,,,,
255,1,N,1,71,22465,11,N,200306,경기,1차산업,1차산업 종사자,2214,3866,,,,
256,1,N,2,71,1772,12,N,200306,충남,주부,주부,1680,1730,,,,
257,1,Y,2,71,2220,12,N,200306,부산,기타,기타,1607,2666,,,,
258,1,N,2,71,7109,11,N,200306,전북,주부,주부,1941,1833,,,,
259,1,N,1,71,18317,30,N,200306,서울,기타,기타,2441,5273,,,,
260,1,N,2,71,50000,12,N,200306,경기,주부,주부,3408,3408,,,,
263,1,N,2,71,1721,11,N,200306,전남,주부,주부,1730,1730,,,,
264,1,N,1,71,29305,20,N,,,,,0,,,,,
265,1,N,2,71,10746,40,N,200306,대구,자영업,자영업,3269,3155,,,,
266,1,N,2,71,6084,11,N,200306,전북,주부,주부,1942,1928,,,,
268,1,Y,2,70,21666,20,N,200306,경기,자영업,자영업,4336,4336,,,,
269,2,,1,70,4848,40,N,200306,전북,자영업,자영업,2475,3259,,,,
270,1,N,1,70,35921,11,N,200306,울산,기타,기타,3712,5955,,,,
272,1,N,2,70,8778,11,N,200306,경남,기타,기타,3290,3245,,,,
273,1,N,1,70,8925,40,N,,,,,2754,,,,,
275,1,N,2,69,15138,30,N,200306,서울,주부,주부,2518,2505,,,,
276,1,N,2,69,16984,20,N,200306,대전,주부,주부,3692,6053,,,,
277,1,N,2,69,9967,30,N,200306,대구,주부,주부,4591,4464,,,,
278,1,N,2,69,0,,N,200306,전남,기타,기타,0,0,,,,
279,1,N,2,69,55555,20,N,200306,서울,기타,기타,7242,7018,,,,
280,1,N,1,69,6821,99,N,200306,대전,서비스,2차산업 종사자,0,0,,,,
281,1,N,2,69,16900,13,N,,,,,5596,,,,,
282,1,Y,2,69,21388,20,N,200306,경남,주부,주부,3825,4184,,,,
283,1,N,2,69,25138,20,N,200306,서울,주부,주부,3519,3451,,,,
284,1,N,1,69,4861,30,N,200306,인천,제조업,운전직,1881,3402,,,,
286,1,N,2,68,28134,11,N,200306,부산,주부,주부,3186,2989,,,,
288,1,N,2,68,18333,20,N,200306,강원,주부,주부,5168,5168,,,,
291,1,N,2,68,6167,99,N,200306,충남,기타,기타,0,0,,,,
292,1,N,1,68,0,,N,200306,경남,자영업,자영업,0,0,,,,
293,1,N,2,68,15555,20,N,200306,경기,주부,주부,4810,4654,,,,
294,1,N,1,68,14444,30,N,200306,부산,제조업,3차산업 종사자,5224,4897,,,,
295,1,N,1,68,17083,20,N,200306,인천,기타,단순 노무직,5038,4893,,,,
296,1,Y,2,68,4007,12,N,200306,경남,주부,주부,0,2708,,,,
297,2,,2,67,14444,20,N,200306,광주,주부,주부,0,0,,,,
298,1,N,1,67,2398,11,N,200306,경남,1차산업,1차산업 종사자,2773,,,,,
300,1,N,1,67,32222,20,N,200306,경기,서비스,2차산업 종사자,7076,7273,,,,
302,1,N,1,67,0,,N,200306,전북,사무직,3차산업 종사자,0,3875,,,,
303,1,N,1,67,6671,13,N,200306,대전,자영업,자영업,0,4037,,,,
304,1,N,2,67,2186,13,N,200306,경남,자영업,자영업,2872,2844,,,,
305,1,N,2,67,13410,13,N,200306,서울,서비스,2차산업 종사자,2192,1898,,,,
306,1,N,2,67,81527,20,N,200306,서울,사무직,사무직,10960,10918,,,,
307,2,,1,67,15751,11,N,200306,울산,제조업,운전직,4631,6144,,,,
308,1,N,2,67,9583,30,N,200306,경북,주부,주부,3936,3878,,,,
310,1,N,2,67,6929,40,N,200306,경남,주부,주부,3243,3199,,,,
311,1,N,1,66,21936,40,N,200306,울산,전문직,전문직,5706,11633,,,,
312,1,N,2,66,20000,20,N,200306,경기,주부,주부,4808,4745,,,,
313,1,N,1,66,0,11,N,200306,전남,1차산업,1차산업 종사자,0,3785,,,,
314,1,N,1,66,3669,11,N,200306,전북,기타,단순 노무직,3052,3163,,,,
317,1,N,2,66,15000,20,N,200306,대전,주부,주부,5004,4864,,,,
319,1,N,2,66,4027,20,N,200306,부산,주부,주부,2296,2289,,,,
320,1,Y,2,66,16805,20,N,200306,광주,자영업,자영업,7355,6814,,,,
321,2,,2,66,12605,20,N,200306,광주,주부,주부,4491,0,,,,
322,1,N,2,66,1958,11,N,200306,충남,주부,주부,2965,2959,,,,
324,1,N,1,65,3174,40,N,200306,전남,1차산업,1차산업 종사자,2912,4202,,,,
325,1,N,2,65,9166,20,N,200306,경북,주부,주부,3600,3824,,,,
326,1,Y,2,65,10694,20,N,200306,경남,주부,주부,3841,3707,,,,
327,1,N,2,65,41805,20,N,200306,경기,주부,주부,10145,10145,,,,
328,1,N,2,65,16388,20,N,200306,부산,주부,주부,4120,4047,,,,
329,1,N,2,65,20138,20,N,200306,충북,기타,기타,6903,6485,,,,
330,1,N,2,65,12403,11,N,200306,부산,자영업,자영업,4382,4248,,,,
331,1,N,2,65,15416,30,N,200306,서울,주부,주부,3086,4187,,,,
332,1,N,2,65,4608,13,N,200303,경기,주부,주부,0,0,,,,
333,1,N,2,65,12200,40,N,200306,울산,서비스,3차산업 종사자,4532,4484,,,,
334,1,N,2,65,12361,30,N,200306,서울,주부,주부,2596,2757,,,,
335,1,N,2,65,10833,20,N,200306,광주,주부,주부,3818,3899,,,,
336,1,N,1,65,10157,11,N,200306,경남,서비스,2차산업 종사자,3917,3848,,,,
337,1,N,1,65,5643,13,N,200306,경기,주부,주부,3162,10749,,,,
338,1,Y,2,65,14444,20,N,200306,인천,자영업,자영업,4051,4154,,,,
339,1,N,2,65,11111,20,N,200306,부산,주부,주부,3851,4048,,,,
341,1,Y,2,65,11775,40,N,200306,인천,서비스,3차산업 종사자,4541,4516,,,,
342,1,N,2,65,33472,20,N,200306,서울,자영업,자영업,5414,5258,,,,
343,1,N,2,65,12638,20,N,200306,전북,전문직,교사,5307,5307,,,,
344,2,,2,65,26944,20,N,200306,경북,서비스,3차산업 종사자,8645,8373,,,,
345,1,N,2,65,2186,13,N,200306,경남,서비스,3차산업 종사자,3109,3080,,,,
346,1,N,1,65,0,,N,200306,강원,서비스,2차산업 종사자,0,3806,,,,
347,1,N,1,65,19722,20,N,200306,부산,제조업,운전직,6666,6666,,,,
348,1,N,2,65,8236,12,N,200306,서울,주부,주부,4313,4846,,,,
349,1,N,1,65,7361,20,N,200306,대전,기타,기타,3859,4050,,,,
350,1,Y,1,65,48724,11,N,200306,경기,사무직,사무직,6289,9781,,,,
351,1,N,2,65,0,,N,200306,강원,주부,주부,0,0,,,,
352,1,N,1,65,25000,20,N,200306,경기,서비스,3차산업 종사자,6912,6837,,,,
353,2,,1,64,39166,30,N,200306,서울,사무직,사무직,5623,7772,,,,
354,1,N,2,64,6277,40,N,200306,경북,자영업,자영업,3679,3886,,,,
356,1,N,2,64,27777,20,N,200306,경남,주부,주부,9903,9870,,,,
357,1,N,2,64,5871,11,N,200306,경남,주부,주부,3546,3505,,,,
358,1,N,2,64,7916,20,N,200306,광주,자영업,자영업,4050,6826,,,,
359,1,N,2,64,0,,N,,,,,0,,,,,
360,1,Y,1,64,8316,99,N,200306,인천,서비스,2차산업 종사자,0,0,,,,
361,1,N,2,64,6748,99,N,200306,광주,제조업,2차산업 종사자,0,0,,,,
362,1,N,1,64,21111,20,N,200306,서울,서비스,2차산업 종사자,4083,6270,,,,
363,1,N,1,64,9773,12,N,200306,충북,사무직,사무직,4083,4087,,,,
365,1,N,2,64,5555,20,N,200306,경북,주부,주부,3363,3280,,,,
368,1,N,1,64,40737,20,N,200306,서울,사무직,사무직,7736,8579,,,,
370,1,N,1,64,4444,20,N,200306,경기,제조업,운전직,3242,3242,,,,
371,1,Y,2,64,5277,20,N,200306,전북,주부,주부,3167,3188,,,,
372,1,N,1,64,0,,N,200306,,,,0,0,,,,
373,1,N,2,64,25555,20,N,200306,광주,기타,3차산업 종사자,5504,5246,,,,
374,1,N,1,67,123333,20,N,,,,,15767,,,,,
375,1,N,1,63,17222,20,N,200306,부산,자영업,자영업,0,7183,,,,
376,1,N,1,63,9506,13,N,200306,서울,제조업,운전직,4361,,,,,
378,1,N,2,63,7361,30,N,200306,인천,주부,주부,3715,3700,,,,
379,1,Y,2,63,10555,30,N,200306,인천,주부,주부,4272,4238,,,,
382,1,N,2,63,2286,11,N,200306,경북,서비스,3차산업 종사자,3230,3220,,,,
384,1,N,1,63,25555,20,N,200306,전남,제조업,2차산업 종사자,8986,,,,,
385,1,Y,2,63,0,,N,200306,강원,주부,주부,0,0,,,,
386,1,N,2,63,55000,20,N,200306,경기,주부,주부,11079,11028,,,,
388,1,N,2,63,10075,40,N,200306,경기,서비스,3차산업 종사자,0,0,,,,
389,1,N,1,63,26111,20,N,200306,경기,제조업,운전직,6942,6810,,,,
390,1,N,2,63,20555,20,N,200306,경기,주부,주부,5801,5801,,,,
391,1,N,1,63,0,,N,200306,경북,서비스,2차산업 종사자,0,,,,,
392,1,N,2,63,8333,20,N,200306,광주,서비스,3차산업 종사자,4068,3936,,,,
393,1,N,1,63,18611,20,N,200306,충북,사무직,단순 사무직,6895,6722,,,,
394,1,N,1,63,30254,40,N,200306,서울,자영업,자영업,6042,6029,,,,
397,2,,2,63,6087,12,N,200303,경기,주부,주부,0,1589,,,,
398,1,N,2,62,0,,N,200306,대구,주부,주부,0,0,,,,
400,1,N,2,62,28888,20,N,200306,경기,서비스,3차산업 종사자,8091,7815,,,,
401,2,,1,62,10555,20,N,200306,전남,사무직,사무직,5491,,,,,
402,1,N,1,62,18190,11,N,200306,전북,사무직,사무직,5409,,,,,
403,1,N,1,62,6409,40,N,200306,전북,자영업,자영업,4634,4619,,,,
404,1,N,2,62,9642,12,N,200306,경기,주부,주부,0,5370,,,,
405,1,N,1,62,89166,20,N,200306,서울,자영업,자영업,12187,,,,,
406,1,N,2,62,4052,99,N,200306,경기,1차산업,1차산업 종사자,0,0,,,,
407,1,N,1,62,15555,20,N,200306,강원,자영업,자영업,6612,,,,,
408,1,N,2,62,14993,30,N,200306,경기,주부,주부,5277,5474,,,,
410,2,,2,62,0,,N,200306,경기,주부,주부,0,4389,,,,
411,1,Y,2,62,7729,11,N,200306,부산,주부,주부,5125,,,,,
412,1,N,2,62,17222,20,N,200303,울산,주부,주부,5737,5453,,,,
413,1,N,1,62,0,,N,200306,서울,자영업,자영업,0,0,,,,
414,1,N,2,62,1286,11,N,200306,전남,서비스,3차산업 종사자,3919,3952,,,,
415,1,N,2,62,20000,20,N,200306,울산,주부,주부,6120,5552,,,,
416,1,N,2,62,8194,30,N,200306,경기,주부,주부,3830,3830,,,,
417,2,,2,62,16805,20,N,200306,대전,주부,주부,6036,6264,,,,
419,1,N,1,62,15138,20,N,200306,경기,사무직,교육관련직,5261,6272,,,,
